lookback,test_year,seed,A1_no_memory,A2_memory,A2L_long_memory,hl_A2,hl_A2L
6,2024,44,0.7469410913388952,0.7657294331530414,0.7638875570580032,1.3055477113865945,5.0267237341651665
6,2025,42,0.7828956289046693,0.7841613593527613,0.7849206006998317,3.142355586009332,9.127937097172687
6,2025,43,0.7853528368144914,0.7881134619650629,0.7886618531368533,2.7016468820518353,3.721339560161035
6,2025,44,0.7984157868585776,0.806559318495853,0.8070927958281667,1.226902775556308,6.070283168978865
12,2021,42,0.7586136561724345,0.6918228160209674,0.6919873886845943,2.278044235176387,2.0821410689256346
12,2021,43,0.6696544806174987,0.6381641164969599,0.6382982425448005,3.0982116991741395,2.635539165735509
12,2021,44,0.6525250077978799,0.6672800988096466,0.6672564474043473,2.4826615173651034,2.478217418622697
12,2022,42,0.6751930314751249,0.689418078082544,0.6894508095786899,2.0414488278738845,1.907166105854691
12,2022,43,0.6654345006476409,0.6504620406611855,0.6509732562105285,4.095721046359898,7.268318078231338
12,2022,44,0.6533062845862082,0.6728238462310202,0.6720298075330488,2.342702593101326,4.909444782376127
12,2023,42,0.7452849370497201,0.7516589547219382,0.7511985574575845,1.0243337726575052,0.9966713069088559
12,2023,43,0.7281711597212109,0.7233978688097084,0.7406553896001042,2.129115145668154,18.740578455415314
12,2023,44,0.7624751528936223,0.7650570803741383,0.7654207623921464,1.0915245117156016,1.3989451931206818
12,2024,42,0.7664735759718271,0.753190185842227,0.7533036165401394,2.09356519805874,1.613387518177988
12,2024,43,0.7620701829908636,0.7724117882164115,0.7761831263804102,4.071675740857086,12.331975759927609
12,2024,44,0.7523935648825173,0.7632820384451643,0.7629953575997839,1.9935068566953356,4.119853170051059
12,2025,42,0.7937416927915436,0.7831263839814555,0.7829961747515102,6.068550298040035,5.371525388807707
12,2025,43,0.780987241515507,0.7874143452067778,0.7875557659122867,4.025474153237252,8.80866671131559
12,2025,44,0.8035482338944895,0.8085788872078761,0.8087898039246567,1.9019984005051422,4.343618867351922
24,2021,42,0.7608193330685176,0.7184598850710538,0.7184594385452036,2.0218384933238482,2.011842586330121
24,2021,43,0.7475198691993201,0.5676212058777275,0.5675641833407425,2.659479806358097,2.62150826181676
24,2021,44,0.672648309229015,0.7454906794002507,0.7456695830763466,2.728656870484694,2.7834513098853235
24,2022,42,0.6998165326681481,0.7001138480167881,0.7001138480167879,1.6679887610065125,1.6631596759872123
24,2022,43,0.668128940674427,0.6830281095954517,0.6830281095954515,2.8464498564103593,2.8277771067951862
24,2022,44,0.6642550872282978,0.7049677506226749,0.7053974523071251,3.690331823206207,4.21911097534458
24,2023,42,0.7446865166813386,0.7457926607176163,0.745537424239395,1.039275150747122,1.0383517439207182
24,2023,43,0.7422650811149626,0.7538589948267623,0.7539130488262686,28.143547456130975,30.165568829293917
24,2023,44,0.7492931640841173,0.7459679689157119,0.7462289843599909,1.071845322817219,1.0800654579872997
24,2024,42,0.7554380252159723,0.7739939865597777,0.7740159261286704,1.1208981792914658,1.1200907035635403
24,2024,43,0.7653359268043962,0.7653974297492885,0.7662074852365012,18.47134209703326,22.963319714778695
24,2024,44,0.7437793416703026,0.769905667391432,0.7698659195662325,2.8122863432973593,2.9920501587147847
24,2025,42,0.7859850459053104,0.8033923720943192,0.8034008017023566,1.263623572062356,1.2613646585351022
24,2025,43,0.8112765879598367,0.8081475562614425,0.8083144760502357,14.631579237593526,19.291351515952414
24,2025,44,0.812722021551414,0.7980627923803264,0.7979738740337845,3.21650450394427,3.704143037973914
