task,level,test_year,features,model,recal,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_run4,hour,2022,cal+AR(D-1),lgbm,month,25538,8760,24,6.817,0.18339615752444938,0.9424233716475096,0.006813759847089019,0.053582941679028634,0.00684931506849315
y_run4,hour,2022,cal+FC,logit,month,26299,8760,38,1.201,0.452684003782029,0.9940536398467432,0.007414103511142869,0.02489836609031155,0.00684931506849315
y_run4,hour,2022,cal+FC,lgbm,month,26299,8760,38,8.524,0.48618034761759205,0.9930038314176245,0.009936890753914514,0.0567144567169233,0.00684931506849315
y_run4,hour,2022,cal+AR(D-1)+FC,logit,month,25538,8760,55,2.417,0.6449571212817669,0.9974980842911878,0.003557391946882237,0.010913440992615181,0.00684931506849315
y_run4,hour,2022,cal+AR(D-1)+FC,lgbm,month,25538,8760,55,11.583,0.7725930297510087,0.9972605363984675,0.0035112737543702617,0.017854033471636388,0.00684931506849315
y_run4,hour,2023,cal,logit,month,35065,8760,7,0.275,0.0637728454006527,0.7164194628022413,0.028540641758676717,0.13372530654167122,0.0295662100456621
y_run4,hour,2023,cal,lgbm,month,35065,8760,7,4.648,0.1124871917923799,0.8081063822153106,0.031042228751043656,0.19072496811076983,0.0295662100456621
y_run4,hour,2023,cal+AR(D-2),logit,month,34298,8760,14,0.546,0.14019280454155664,0.8282019058398309,0.028058907806400475,0.12965739469894086,0.0295662100456621
y_run4,hour,2023,cal+AR(D-2),lgbm,month,34298,8760,14,6.387,0.22353981465181744,0.7880390178943291,0.02770476983313248,0.22498132154776812,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1),logit,month,34298,8760,24,1.204,0.23716930612268808,0.8821505895967723,0.0273459865857534,0.14250764138583544,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1),lgbm,month,34298,8760,24,7.398,0.296633755600673,0.8973012032652076,0.02714891179285685,0.21189774675085563,0.0295662100456621
y_run4,hour,2023,cal+FC,logit,month,35059,8760,38,1.56,0.7710868968522588,0.9880995149787057,0.01719327184858095,0.05551939396108677,0.0295662100456621
y_run4,hour,2023,cal+FC,lgbm,month,35059,8760,38,10.26,0.7968450469582001,0.9889997043273128,0.01992259691194133,0.08504132672824988,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1)+FC,logit,month,34298,8760,55,3.015,0.7884773015074794,0.9885269005372522,0.015397274898364701,0.05209491561873918,0.0295662100456621
y_run4,hour,2023,cal+AR(D-1)+FC,lgbm,month,34298,8760,55,12.915,0.8336494389654151,0.9912070303788926,0.014473739617680163,0.0805996110861839,0.0295662100456621
y_run4,hour,2024,cal,logit,month,43825,8784,7,0.374,0.16487402622804087,0.7607610111907105,0.04076925750954293,0.17150806867368695,0.044285063752276865
y_run4,hour,2024,cal,lgbm,month,43825,8784,7,4.835,0.14850338557701273,0.7902333528802032,0.04377785143075726,0.23476982813346023,0.044285063752276865
y_run4,hour,2024,cal+AR(D-2),logit,month,43058,8784,14,0.604,0.2510574097512273,0.8381047599945494,0.03762167812713491,0.14908033723279213,0.044285063752276865
y_run4,hour,2024,cal+AR(D-2),lgbm,month,43058,8784,14,7.576,0.2150145826989427,0.8281353970336731,0.04180742215438395,0.23503532441452127,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1),logit,month,43058,8784,24,1.491,0.4123441009996696,0.8968788803471278,0.03282243263967111,0.12603223187870818,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1),lgbm,month,43058,8784,24,8.19,0.4018301640968005,0.9164262605817208,0.03584595463429187,0.1770069795618687,0.044285063752276865
y_run4,hour,2024,cal+FC,logit,month,43819,8784,38,2.029,0.6369879801708016,0.9771822191872686,0.025369510301557926,0.08183314363151509,0.044285063752276865
y_run4,hour,2024,cal+FC,lgbm,month,43819,8784,38,12.329,0.6471175664853749,0.972656940185047,0.028701468316089343,0.14315514449647404,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1)+FC,logit,month,43058,8784,55,4.314,0.7202040364846392,0.9816474796021013,0.02354747586129605,0.07491264704611056,0.044285063752276865
y_run4,hour,2024,cal+AR(D-1)+FC,lgbm,month,43058,8784,55,16.545,0.7197305247192152,0.9803390131535634,0.024702354789870103,0.13206634326746478,0.044285063752276865
y_run4,hour,2025,cal,logit,month,52609,8759,7,0.392,0.34705022759547355,0.825645995467619,0.05174264677214654,0.19719052349560928,0.05913917113825779
y_run4,hour,2025,cal,lgbm,month,52609,8759,7,5.47,0.20148283668573408,0.8465201771535954,0.06226078613334505,0.27136459453904244,0.05913917113825779
y_run4,hour,2025,cal+AR(D-2),logit,month,51842,8759,14,0.784,0.548632300685843,0.9091933214612501,0.037834950939129586,0.13938788271334107,0.05913917113825779
y_run4,hour,2025,cal+AR(D-2),lgbm,month,51842,8759,14,8.08,0.43990079635783597,0.899360669109486,0.0447128796893828,0.20298161296326042,0.05913917113825779
y_run4,hour,2025,cal+AR(D-1),logit,month,51842,8759,24,1.764,0.6532225310981583,0.9528635192996314,0.03193864355876235,0.11085880263696937,0.05913917113825779
y_run4,hour,2025,cal+AR(D-1),lgbm,month,51842,8759,24,10.614,0.5904714870029987,0.9514500198883161,0.04043169492140426,0.171691007807929,0.05913917113825779
y_run4,hour,2025,cal+FC,logit,month,52603,8759,38,2.427,0.8012701178147474,0.983732809724801,0.023247089855049807,0.0746108878039102,0.05913917113825779
