family,task,test_year,n_days,mean_diff,gw_uncond_z,gw_uncond_p,gw_cond_W,gw_cond_p,boot5_lo,boot5_hi,boot10_lo,boot10_hi,boot20_lo,boot20_hi,boot10_excludes_zero,gw_uncond_bh05,gw_cond_bh05
infoset,y_day4,2025,365,0.02349082786899191,1.8634700474884829,0.06239616284003646,3.8024885862963895,0.1493826277525043,-0.0013973003301864,0.049288466412995294,-0.003396428511873487,0.05110209539788515,-0.006446622171285816,0.05584085644784399,False,False,False
forecast,y_neg,2021,365,0.009498756839231489,3.0658401522938536,0.002170593238195906,14.708527072637827,0.0006398584766365078,0.004131499777302511,0.016382649156787683,0.003771393749671121,0.01669376991721693,0.003211395407910317,0.016935820834319625,True,True,True
forecast,y_neg,2022,365,0.003810012955249972,1.346569395104003,0.17811895650842247,2.4992059503562265,0.2866185689598125,-0.0006963219094658431,0.010111349210222118,-0.0006352340371486925,0.010079443662768441,-0.00026463226526863984,0.009326103253960214,False,False,False
forecast,y_neg,2023,365,0.015309750319050028,2.9602693113081173,0.003073702206685347,15.595947487588514,0.0004105660487194187,0.005976338012360954,0.026981057455071334,0.005474395589443117,0.027148824300024535,0.005819729300465029,0.026804617788939063,True,True,True
forecast,y_neg,2024,366,0.015160445151536531,4.018450123556886,5.858220606969056e-05,28.485563590706615,6.522866037161664e-07,0.007840342344702133,0.022709677535147334,0.0076903823398529175,0.02286266209152775,0.00718935946336987,0.0233853767491737,True,True,True
forecast,y_neg,2025,365,0.01983492457701514,3.54413847180381,0.0003938983078664027,30.129087570841293,2.8678191576530246e-07,0.008973692603234638,0.03086955421134905,0.008150693219366905,0.03268202886635662,0.008156526437865668,0.03336188693046646,True,True,True
forecast,y_run3,2021,365,0.008450719260149136,2.7208782221102292,0.00651087419484897,8.54164648875469,0.013970277465618235,0.003195601684696456,0.015229846076903081,0.002817806384352399,0.015481441264043643,0.0025967692955265365,0.01564771143249867,True,True,True
forecast,y_run3,2022,365,0.0040966554091239945,1.3690263291022278,0.1709910449181824,2.044310742718538,0.3598185611598403,-0.0006022259314847887,0.010809514408521383,-0.00047359919590038126,0.010703208805353987,-0.0003026150761057134,0.010282146689750382,False,False,False
forecast,y_run3,2023,365,0.015406173859864558,2.995463292947311,0.0027402828105511645,14.074813990656027,0.0008784013104692429,0.005971582049372813,0.026908611364175647,0.00557711841184063,0.02734566100867747,0.005839520841431219,0.02649227362941715,True,True,True
forecast,y_run3,2024,366,0.012708969012970882,3.3328146021522325,0.0008597221068620264,21.899442699917223,1.756290852451301e-05,0.005928962695468976,0.02049681121537237,0.005795303055119965,0.020281027682883545,0.00566015810523517,0.01992160545030825,True,True,True
forecast,y_run3,2025,365,0.020321352639783997,3.7291835614605513,0.00019210117892609624,23.854068822535233,6.609289415823669e-06,0.010128492145761331,0.03140516634101566,0.009195173191466916,0.032709177052648065,0.00867967785552523,0.0329385907604886,True,True,True
