task,model,features,test_year,PR_AUC,ROC_AUC,Brier,base_rate
y_run4,lgbm,cal+AR+FC,2024,0.6475404692758489,0.9756750177223253,0.028255134733829554,0.044285063752276865
y_run4,logit,cal+FC,2024,0.5872153369010723,0.973631629795554,0.02876053440022882,0.044285063752276865
y_run4,lgbm,cal+FC,2024,0.5771117375124255,0.9661746265297468,0.03213181204024456,0.044285063752276865
y_run4,climatology,-,2025,0.32739543952903544,0.8662098444588434,0.05242079925202133,0.05913917113825779
y_run4,persistence(D-2),-,2025,0.1765842278199211,0.6753670436779282,0.074553213837196,0.05913917113825779
y_run4,logit,cal,2025,0.33176148155911933,0.7986283386720228,0.05274996181790575,0.05913917113825779
y_run4,lgbm,cal,2025,0.1989882312243553,0.845084774826311,0.06345973045053824,0.05913917113825779
y_run4,logit,cal+AR,2025,0.553974184936769,0.9078737586200273,0.03879748555589334,0.05913917113825779
y_run4,lgbm,cal+AR,2025,0.43901396404445225,0.8911893587903781,0.04676198287610967,0.05913917113825779
y_run4,logit,cal+AR+FC,2025,0.7766701786560843,0.9812789803688966,0.025841610193549313,0.05913917113825779
y_run4,lgbm,cal+AR+FC,2025,0.7719261245363178,0.9805281905755149,0.029804827072601948,0.05913917113825779
y_run4,logit,cal+FC,2025,0.7900501139387396,0.9822502048566846,0.024755778319703894,0.05913917113825779
y_run4,lgbm,cal+FC,2025,0.762058022581495,0.9784597119871965,0.0310393849775748,0.05913917113825779
y_day4,climatology,-,2021,0.0795109618274979,0.6265591724977183,0.05083118413613728,0.052054794520547946
y_day4,logit,cal,2021,0.20766586406163068,0.8238515363553393,0.04706367953084184,0.052054794520547946
y_day4,lgbm,cal,2021,0.20809426683402363,0.8040766656525707,0.05786704809685146,0.052054794520547946
y_day4,logit,cal+AR,2021,0.3148278736416981,0.809400669303316,0.042913781992507276,0.052054794520547946
y_day4,lgbm,cal+AR,2021,0.24861208848166252,0.7514450867052023,0.048428357348234474,0.052054794520547946
y_day4,logit,cal+AR+FC,2021,0.8939239706041677,0.9895041070885305,0.01565187101962897,0.052054794520547946
y_day4,lgbm,cal+AR+FC,2021,0.8621136021138622,0.980985701247338,0.02195096760004813,0.052054794520547946
y_day4,logit,cal+FC,2021,0.8782923497679325,0.9899604502585945,0.01701916440784855,0.052054794520547946
y_day4,lgbm,cal+FC,2021,0.8784175669283796,0.9867660480681473,0.021160687341730836,0.052054794520547946
y_day4,climatology,-,2022,0.047973100575556274,0.713943661971831,0.029425395619478798,0.0273972602739726
y_day4,logit,cal,2022,0.1449431150435311,0.6194366197183099,0.03473112906237934,0.0273972602739726
y_day4,lgbm,cal,2022,0.03728552746410524,0.5929577464788732,0.046909034812481494,0.0273972602739726
y_day4,logit,cal+AR,2022,0.16899451418610983,0.8492957746478873,0.0273948738063527,0.0273972602739726
y_day4,lgbm,cal+AR,2022,0.2192939600082457,0.8743661971830987,0.03019553600460357,0.0273972602739726
y_day4,logit,cal+AR+FC,2022,0.5505655806182123,0.9805633802816901,0.024721167981242086,0.0273972602739726
y_day4,lgbm,cal+AR+FC,2022,0.6187239314055853,0.9661971830985915,0.031990349578078316,0.0273972602739726
y_day4,logit,cal+FC,2022,0.5334010989010989,0.9712676056338029,0.033454769534668034,0.0273972602739726
y_day4,lgbm,cal+FC,2022,0.5685178660900081,0.9636619718309859,0.03592518511913356,0.0273972602739726
y_day4,climatology,-,2023,0.08917652945865415,0.4547619047619047,0.09115419107906528,0.0958904109589041
y_day4,logit,cal,2023,0.1350790525127304,0.6177489177489177,0.09002996773329298,0.0958904109589041
y_day4,lgbm,cal,2023,0.1891556204054852,0.6932467532467532,0.09897594349350547,0.0958904109589041
y_day4,logit,cal+AR,2023,0.22131976127750586,0.703030303030303,0.08511043222307033,0.0958904109589041
y_day4,lgbm,cal+AR,2023,0.3312909319002878,0.7183549783549784,0.08413755445226141,0.0958904109589041
y_day4,logit,cal+AR+FC,2023,0.7821979346511982,0.9699567099567099,0.04558787064639335,0.0958904109589041
y_day4,lgbm,cal+AR+FC,2023,0.8083300087735427,0.9696969696969696,0.05982819084624699,0.0958904109589041
y_day4,logit,cal+FC,2023,0.7431036952291079,0.9615584415584415,0.054463756049845054,0.0958904109589041
y_day4,lgbm,cal+FC,2023,0.8045081097037857,0.9699567099567099,0.05225723547249396,0.0958904109589041
y_day4,climatology,-,2024,0.1468999205308564,0.4605531938386794,0.14620271979229682,0.16120218579234974
y_day4,logit,cal,2024,0.2911071994390828,0.6683597416220395,0.13649867064390403,0.16120218579234974
y_day4,lgbm,cal,2024,0.25911363137487725,0.6385469000165627,0.15349787142236695,0.16120218579234974
y_day4,logit,cal+AR,2024,0.3455034597332534,0.709380003312538,0.13205669283823812,0.16120218579234974
y_day4,lgbm,cal+AR,2024,0.3502132023894202,0.7088831226191133,0.1504206298804323,0.16120218579234974
y_day4,logit,cal+AR+FC,2024,0.6837053844549402,0.9177938497211948,0.08939395886655935,0.16120218579234974
y_day4,lgbm,cal+AR+FC,2024,0.7264500146381108,0.9341357036382709,0.08559291840195217,0.16120218579234974
y_day4,logit,cal+FC,2024,0.665129720615155,0.9207199249158065,0.0909872261770451,0.16120218579234974
y_day4,lgbm,cal+FC,2024,0.6477360629452564,0.9069176834317894,0.10925012941286912,0.16120218579234974
y_day4,climatology,-,2025,0.3742336981084231,0.6141674780915286,0.18262957788719525,0.21643835616438356
y_day4,logit,cal,2025,0.49761250253416606,0.7170045144728688,0.17195364579591768,0.21643835616438356
y_day4,lgbm,cal,2025,0.3142533881310848,0.6657077100115074,0.2117235957386286,0.21643835616438356
y_day4,logit,cal+AR,2025,0.6977770493288031,0.8569531734088696,0.12150596836638397,0.21643835616438356
y_day4,lgbm,cal+AR,2025,0.5611639911349952,0.7677259449411348,0.15657031818466885,0.21643835616438356
y_day4,logit,cal+AR+FC,2025,0.8393372387088975,0.9442772417455962,0.0796838166902368,0.21643835616438356
y_day4,lgbm,cal+AR+FC,2025,0.7985653974551212,0.93215012835266,0.12517206818721027,0.21643835616438356
y_day4,logit,cal+FC,2025,0.832965093646755,0.9410020359387448,0.0811702339399507,0.21643835616438356
y_day4,lgbm,cal+FC,2025,0.7713074007090122,0.924404709214836,0.12495019467909556,0.21643835616438356
