actor,test_year,param,alpha,V
flexible_load,2021,0.0,7.8,-1.9798561151079137
flexible_load,2021,0.0,7.9,-2.015107913669065
flexible_load,2021,0.0,8.0,-2.050359712230216
flexible_load,2021,5.0,0.02,0.6441726618705036
flexible_load,2021,5.0,0.04,0.640863309352518
flexible_load,2021,5.0,0.06,0.6375539568345323
flexible_load,2021,5.0,0.08,0.6342446043165467
flexible_load,2021,5.0,0.1,0.6309352517985611
flexible_load,2021,5.0,0.12,0.6276258992805754
flexible_load,2021,5.0,0.14,0.62431654676259
flexible_load,2021,5.0,0.16,0.6210071942446043
flexible_load,2021,5.0,0.18,0.6176978417266188
flexible_load,2021,5.0,0.2,0.6143884892086331
flexible_load,2021,5.0,0.22,0.6110791366906475
flexible_load,2021,5.0,0.24,0.6077697841726619
flexible_load,2021,5.0,0.26,0.6044604316546762
flexible_load,2021,5.0,0.28,0.6011510791366906
flexible_load,2021,5.0,0.3,0.597841726618705
flexible_load,2021,5.0,0.32,0.5945323741007194
flexible_load,2021,5.0,0.34,0.5912230215827339
flexible_load,2021,5.0,0.36,0.5879136690647482
flexible_load,2021,5.0,0.38,0.5846043165467626
flexible_load,2021,5.0,0.4,0.581294964028777
flexible_load,2021,5.0,0.42,0.5779856115107913
flexible_load,2021,5.0,0.44,0.5746762589928057
flexible_load,2021,5.0,0.46,0.5713669064748201
flexible_load,2021,5.0,0.48,0.5680575539568344
flexible_load,2021,5.0,0.5,0.564748201438849
flexible_load,2021,5.0,0.52,0.5614388489208633
flexible_load,2021,5.0,0.54,0.5581294964028777
flexible_load,2021,5.0,0.56,0.5548201438848921
flexible_load,2021,5.0,0.58,0.5515107913669064
flexible_load,2021,5.0,0.6,0.5482014388489208
flexible_load,2021,5.0,0.62,0.5448920863309352
flexible_load,2021,5.0,0.64,0.5415827338129495
flexible_load,2021,5.0,0.66,0.538273381294964
flexible_load,2021,5.0,0.68,0.5349640287769784
flexible_load,2021,5.0,0.7,0.5316546762589928
flexible_load,2021,5.0,0.72,0.5283453237410072
flexible_load,2021,5.0,0.74,0.5250359712230215
flexible_load,2021,5.0,0.76,0.521726618705036
flexible_load,2021,5.0,0.78,0.5184172661870503
flexible_load,2021,5.0,0.8,0.5151079136690647
flexible_load,2021,5.0,0.82,0.5117985611510791
flexible_load,2021,5.0,0.84,0.5084892086330934
flexible_load,2021,5.0,0.86,0.505179856115108
flexible_load,2021,5.0,0.88,0.5018705035971223
