task,level,test_year,features,model,recal,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_neg,hour,2024,cal,logit,month,43825,8784,7,0.164,0.3035390916183139,0.8190547792252091,0.04494645769474174,0.17297304793996948,0.052026411657559196
y_neg,hour,2024,cal,lgbm,month,43825,8784,7,3.738,0.1798986138839213,0.7989506598318881,0.05369717123992454,0.3262240368876795,0.052026411657559196
y_neg,hour,2024,cal+AR(D-2),logit,month,43058,8784,14,0.407,0.32533636536726823,0.862489715378436,0.04110954883662237,0.15250915917682853,0.052026411657559196
y_neg,hour,2024,cal+AR(D-2),lgbm,month,43058,8784,14,5.172,0.27727372088933017,0.8268283895760778,0.0466031589885868,0.3009585326301031,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1),logit,month,43058,8784,24,0.598,0.47583517414104237,0.9086260481379416,0.03557304945350355,0.13054899009192605,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1),lgbm,month,43058,8784,24,6.405,0.4144943691684817,0.8860076327593216,0.04168515922935665,0.25632132955929343,0.052026411657559196
y_neg,hour,2024,cal+FC,logit,month,43819,8784,38,1.027,0.7721826357637914,0.982783589488624,0.02299634093320311,0.07634462523645144,0.052026411657559196
y_neg,hour,2024,cal+FC,lgbm,month,43819,8784,38,8.394,0.7434622822243883,0.9716687089189973,0.02976672405994329,0.21179948434441168,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1)+FC,logit,month,43058,8784,55,1.872,0.7880531637138886,0.9839153905764879,0.022356337466449164,0.0739281661024443,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1)+FC,lgbm,month,43058,8784,55,10.764,0.7788435755591115,0.979583695862685,0.026524716250257895,0.17266442795436884,0.052026411657559196
y_neg,hour,2025,cal,logit,month,52609,8759,7,0.156,0.4189780457716862,0.8842351436582616,0.048814865800530634,0.17269997379989313,0.06576093161319785
y_neg,hour,2025,cal,lgbm,month,52609,8759,7,3.879,0.38631598531589595,0.8865204327739078,0.05277067406823496,0.22824154775590527,0.06576093161319785
y_neg,hour,2025,cal+AR(D-2),logit,month,51842,8759,14,0.26,0.5337959885690229,0.9170812286990645,0.04223209199074704,0.14926024436456045,0.06576093161319785
y_neg,hour,2025,cal+AR(D-2),lgbm,month,51842,8759,14,6.225,0.44408161444833666,0.8947725297703912,0.050278139587430395,0.23523966205641386,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1),logit,month,51842,8759,24,0.864,0.6431907392256135,0.9526317263432318,0.035532361014566326,0.12199136740728124,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1),lgbm,month,51842,8759,24,7.752,0.5898738619095842,0.9443415464988392,0.04314037143218909,0.20238589201451593,0.06576093161319785
y_neg,hour,2025,cal+FC,logit,month,52603,8759,38,1.145,0.8330976046320189,0.9855554622048421,0.02281202039618625,0.07561931601073235,0.06576093161319785
y_neg,hour,2025,cal+FC,lgbm,month,52603,8759,38,8.825,0.8293919800248714,0.9841361070376256,0.027318557284231725,0.1227064605583672,0.06576093161319785
