task,level,test_year,features,model,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_neg,hour,2023,cal,logit,35065,8760,7,0.054,0.07384784254728145,0.7049613869188337,0.03274628967265564,0.14851220759594524,0.03424657534246575
y_neg,hour,2023,cal,lgbm,35065,8760,7,0.915,0.12683828610124098,0.8072423167848699,0.03450224891443245,0.1856346820285503,0.03424657534246575
y_neg,hour,2023,cal+AR(D-2),logit,34298,8760,14,0.109,0.17221751326436258,0.8226012608353034,0.03184394596010896,0.14303994636665388,0.03424657534246575
y_neg,hour,2023,cal+AR(D-2),lgbm,34298,8760,14,0.996,0.29092992926114897,0.8366686367218282,0.030352060584302305,0.21446558430813706,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1),logit,34298,8760,24,0.22,0.24195706528072297,0.8692750197005517,0.031626977264129046,0.16018866174566848,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1),lgbm,34298,8760,24,1.148,0.31227909805104115,0.8600271867612292,0.03085758045428785,0.2182931364225345,0.03424657534246575
y_neg,hour,2023,cal+FC,logit,35059,8760,38,0.227,0.7341182621817576,0.9856343577620174,0.02165547445747773,0.07238403676638185,0.03424657534246575
y_neg,hour,2023,cal+FC,lgbm,35059,8760,38,1.734,0.7581228420804662,0.9831430260047282,0.027134401716571686,0.13135553615612275,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1)+FC,logit,34298,8760,55,0.444,0.7609707695657457,0.9870642237982663,0.020306391690872064,0.07009873992633599,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1)+FC,lgbm,34298,8760,55,2.109,0.8137467944359884,0.9881871552403467,0.020792784248839912,0.11286008848199332,0.03424657534246575
y_neg,hour,2024,cal,logit,43825,8784,7,0.036,0.17778051133768347,0.7554363635838073,0.04763997392969935,0.19585209833327008,0.052026411657559196
y_neg,hour,2024,cal,lgbm,43825,8784,7,0.829,0.201027146887556,0.8118615224156793,0.04861167698591868,0.23777786477202809,0.052026411657559196
y_neg,hour,2024,cal+AR(D-2),logit,43058,8784,14,0.081,0.31675709132143304,0.840412893229927,0.04412262360074432,0.1731529630009289,0.052026411657559196
y_neg,hour,2024,cal+AR(D-2),lgbm,43058,8784,14,1.13,0.29628809596521927,0.8172544613118223,0.04601684940798629,0.2580951364277551,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1),logit,43058,8784,24,0.186,0.4744213745772451,0.8993934733942652,0.03748109306051174,0.14231835923562022,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1),lgbm,43058,8784,24,1.23,0.46720942279731714,0.9113579274296605,0.04106913591919537,0.19375398879496034,0.052026411657559196
y_neg,hour,2024,cal+FC,logit,43819,8784,38,0.349,0.6353200904405857,0.974555103892087,0.030711906066182272,0.09816239504178959,0.052026411657559196
y_neg,hour,2024,cal+FC,lgbm,43819,8784,38,2.077,0.6235884676107023,0.9691712309670447,0.03489871507601495,0.15643046589265097,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1)+FC,logit,43058,8784,55,0.573,0.694538414083025,0.9786523972661236,0.02903526010130374,0.09397890533775964,0.052026411657559196
