variant,seed,test_year,val_pr_auc,PR_AUC,ROC_AUC,Brier,base_rate,gate_mean,gate_std,epochs,rho,half_life_h,M_corr_target,gate_corr_target
A2,43,2023,0.733126723892433,0.7260677535830633,0.9839996112199382,0.051351741164546105,0.029566209763288498,0.0,0.0,41,0.9545605182647705,14.905033589552339,0.37386463518859564,
A2,44,2023,0.7336527503519756,0.7480698101178248,0.9857282291113606,0.04440700951094527,0.029566209763288498,0.0,0.0,35,0.5633448362350464,1.2078610559928362,-0.31287127903661166,
A2,42,2024,0.8047574301996252,0.7302107098813015,0.9806216517054007,0.06275467705162752,0.044285062700510025,0.0,0.0,17,0.5414870977401733,1.129942057014356,0.5159117845091484,
A2,43,2024,0.7876395190907608,0.6959927537731919,0.9773521697791101,0.06777956632328044,0.044285062700510025,0.0,0.0,18,0.9419637322425842,11.593318306498936,0.37069711832309155,
A2,44,2024,0.8011183548497213,0.6812788974148236,0.9770738182692295,0.08258093787101249,0.044285062700510025,0.0,0.0,23,0.6589672565460205,1.6618989168448917,-0.41628992052046104,
A2,42,2025,0.7537903683058548,0.7599364742808875,0.9746580919678844,0.05738884503277868,0.05913916975259781,0.0,0.0,17,0.5940715670585632,1.3310415394002235,0.5450928935923071,
A2,43,2025,0.7392890918265493,0.7227266810491602,0.9702513892539376,0.043661267110150455,0.05913916975259781,0.0,0.0,17,0.9187209606170654,8.176524575763782,0.3522073006266754,
A2,44,2025,0.7439457823332727,0.7431122729277516,0.9744942300457407,0.04955351781833527,0.05913916975259781,0.0,0.0,17,0.7477620244026184,2.384649211389729,-0.46425048412145137,
A3,42,2021,0.7291496775994872,0.5826251056740828,0.9824204360823591,0.1278303804455412,0.01335616409778595,0.45180952548980713,0.1867421269416809,9,,,,0.028975398466181947
A3,43,2021,0.6429822053856875,0.583893991441597,0.9755357579029914,0.015640681255951715,0.01335616409778595,0.3639639616012573,0.12118943780660629,13,,,,0.23626296805408695
A3,44,2021,0.7892751303686464,0.6115099665033087,0.9879107740961264,0.17079403531277787,0.01335616409778595,0.23741544783115387,0.07629337161779404,9,,,,0.16784184928971285
A3,42,2022,0.7473651282079139,0.713650657095962,0.9929846743295019,0.013544324915693412,0.006849315017461777,0.9885024428367615,0.04463798180222511,13,,,,-0.11326819849553854
A3,43,2022,0.7662893876170724,0.5851721700016976,0.9949865900383142,0.018002133457199056,0.006849315017461777,0.8950063586235046,0.12835811078548431,14,,,,-0.10039671672042613
A3,44,2022,0.7760329865330062,0.5742149496076828,0.990522988505747,0.015012963706594199,0.006849315017461777,0.846818208694458,0.18269942700862885,12,,,,-0.1044294978099721
A3,42,2023,0.7394181929717101,0.7590654267343443,0.9767190687082464,0.041568780884224034,0.029566209763288498,0.7939693927764893,0.22484786808490753,46,,,,0.07183716360318329
A3,43,2023,0.7097479281876687,0.7440697421942801,0.9819653286304267,0.045116396144938856,0.029566209763288498,0.7562033534049988,0.16494910418987274,30,,,,0.10228396742764394
A3,44,2023,0.6914480187496307,0.7237508768859165,0.9773399359330426,0.04766239457360738,0.029566209763288498,0.5515041947364807,0.19000782072544098,26,,,,0.1676801648902373
A3,42,2024,0.777811649896017,0.7027410433813279,0.9783498256858119,0.08737761767304811,0.044285062700510025,0.6190305352210999,0.18113236129283905,16,,,,0.158850840795601
A3,43,2024,0.7756625094130306,0.6017354087146782,0.9690588871145299,0.07245512028671529,0.044285062700510025,0.45744919776916504,0.13116313517093658,13,,,,0.2447502052045616
A3,44,2024,0.7707645830528637,0.6707912556770961,0.9744899568386739,0.04148562868500761,0.044285062700510025,0.4803093671798706,0.12936587631702423,12,,,,0.2557517281728431
A3,42,2025,0.7493049465871997,0.728599860537164,0.9684181034745287,0.042893969189729646,0.05913916975259781,0.7478055357933044,0.15901818871498108,16,,,,0.14475514658055813
A3,43,2025,0.7092848623530835,0.7385783587859858,0.9710530125528306,0.05478715278517954,0.05913916975259781,0.4494197368621826,0.10958768427371979,11,,,,0.3491826114537242
A3,44,2025,0.7766021363550033,0.7556625367461399,0.9738391337408447,0.05771643506396155,0.05913916975259781,0.5875828266143799,0.14552916586399078,12,,,,0.40768404350289833
A4,42,2021,0.7321020122506554,0.5379675229519973,0.9836254030978085,0.14154777040558236,0.01335616409778595,0.36414310336112976,0.1174096092581749,9,0.783363938331604,2.838930077325469,0.4110124171147499,0.08865770790153439
A4,43,2021,0.7384146843588987,0.5553022160901674,0.982904005118514,0.03590626595112762,0.01335616409778595,0.45203059911727905,0.14659610390663147,10,0.7611796855926514,2.5400629169904447,0.4106523874242182,-0.022203639964828294
