lookback,test_year,seed,A1_no_memory,A2_memory,A2L_long_memory,hl_A2,hl_A2L
2,2022,44,0.7102854082764299,0.6599169222696429,0.6592049697962354,1.2695456507223668,3.593747115424569
2,2023,42,0.7981112465627759,0.7742917958936952,0.7744787688129008,3.6051266715483528,8.354951945809146
2,2023,43,0.7727252903519738,0.7604219294307623,0.7612091014428803,2.4862459272809865,5.868315791632172
2,2023,44,0.7882599032812216,0.7467076330903064,0.7808948216635839,0.5278030446940091,1.57150863130118
2,2024,42,0.7428148810089789,0.7520909688254067,0.7531881700079721,3.215961613949158,6.8038116475971355
2,2024,43,0.7487221323336534,0.7512328867858554,0.7497798827422417,2.837205814611692,5.492406367043416
2,2024,44,0.7429230678365902,0.743661905537299,0.7428106598728559,0.9562652225234308,3.647162069100152
2,2025,42,0.7222815015924948,0.7148344855390553,0.7132810867570175,3.0791972723336922,7.651497865283907
2,2025,43,0.7211253720804123,0.7229508150516649,0.7286793788444998,2.5295348804149107,6.736181779424625
2,2025,44,0.739177430649655,0.7384841057570651,0.7151256725005158,1.0759154562208624,4.004968516100243
3,2021,42,0.7464897188950786,0.6838611593742399,0.6787224390404946,2.749930577590801,2.4552049065702155
3,2021,43,0.7238564621853069,0.6542738181358092,0.6514772423332309,3.7928063592721513,2.6761213994265747
3,2021,44,0.6259836543481584,0.6731278949242507,0.6730273450234424,2.493807265621959,2.6218423996933975
3,2022,42,0.6595177089493571,0.6501017564617295,0.646725335864826,2.8282331735806197,2.3796776516143234
3,2022,43,0.7151484349947923,0.7120904757150945,0.7089678070466922,2.7620927281779983,3.826403878273208
3,2022,44,0.7059709363937406,0.6615887698502182,0.6636342524854811,1.3473258889034176,3.731693670425353
3,2023,42,0.8017845245925012,0.7848635786658895,0.7856676308480192,3.6844817253237947,8.992047216727942
3,2023,43,0.7719706665627298,0.7570271354926411,0.75695852481166,2.521455697038707,5.532139311649502
3,2023,44,0.7916273600696485,0.7428970399653884,0.7429524067085357,0.5833779005307803,1.2433453486039923
3,2024,42,0.7348274774259164,0.7358098107458066,0.7365169832769182,3.4179499528289634,7.171957101364024
3,2024,43,0.7310907793514518,0.7267154640096504,0.7268469900191518,2.8579269131205765,6.063506141256614
3,2024,44,0.7572535512110472,0.7297296851262942,0.728563742145609,1.020850587844712,3.8456917328413596
3,2025,42,0.7134247163519281,0.7230918902954494,0.7338264121110313,4.011740260965743,13.856630895782219
3,2025,43,0.6990317737724595,0.7131739929341635,0.7178998297259702,2.557334719001866,6.193475295879622
3,2025,44,0.7384757251963484,0.7165449073339946,0.7165333032184434,1.0099652048890726,4.033741182895946
6,2021,42,0.7148161139317115,0.6764453290908599,0.6758119408274784,2.71924170369087,2.439364337597216
6,2021,43,0.7120450570400005,0.6439644997164561,0.6401433759216942,3.6585882622156305,2.670768782593427
6,2021,44,0.6281970886157096,0.6583222341955556,0.6590374620418805,2.494771468964618,2.5879892439654912
6,2022,42,0.6658657736700898,0.6478464098193796,0.6465734686286044,2.7467334773232985,2.289671969121715
6,2022,43,0.6910984568446505,0.7309953239136507,0.7301407271126307,2.8000357662332336,3.670874239773973
6,2022,44,0.7112963379343146,0.6559189450490619,0.6556769840378961,1.5742611105817663,3.6579234200847646
6,2023,42,0.7968026652545591,0.7800751955134805,0.77946621608325,3.843866524765774,7.921806260882754
6,2023,43,0.746926406821803,0.7748972343223614,0.7735025472450994,2.4070419714471525,5.603544220877655
6,2023,44,0.7624142580445541,0.7321315319266949,0.7319127095547804,0.8907071127403243,1.3619370344359332
6,2024,42,0.7024956724397251,0.7558793278646602,0.7557685023457107,3.420937336906601,6.280051313945157
