variant,seed,test_year,val_pr_auc,PR_AUC,ROC_AUC,Brier,base_rate,gate_mean,gate_std,epochs,rho,half_life_h,M_corr_target,gate_corr_target
A3,42,2024,0.7765557616527026,0.7446482847573191,0.9801122813951295,0.08426294942158902,0.0520264133810997,0.6363869309425354,0.15422087907791138,13,,,,0.3203896778956941
A3,43,2024,0.7821359720988749,0.6885495080378782,0.9738739735415546,0.07413597153085391,0.0520264133810997,0.5264199376106262,0.15010486543178558,17,,,,0.29540651386010086
A3,44,2024,0.7638196794836564,0.7064546929036145,0.9716348100705333,0.06501294259432686,0.0520264133810997,0.5514463186264038,0.14995363354682922,10,,,,0.4013996387568529
A3,42,2025,0.7448970905198498,0.7872964869518436,0.9766432271511399,0.055863800266256515,0.06576093286275864,0.6663007736206055,0.14347028732299805,11,,,,0.377231627043309
A3,43,2025,0.7133400370932039,0.7604970797304339,0.9748653203796489,0.06517009892446489,0.06576093286275864,0.4033034145832062,0.0848456397652626,10,,,,0.22385873572163678
A3,44,2025,0.8077815664166602,0.8085837417989437,0.9766599878474344,0.05958746267990614,0.06576093286275864,0.564649224281311,0.13442327082157135,12,,,,0.44181030896096035
A4,42,2021,0.8152240678134717,0.7400809536238518,0.9878504805481679,0.02147412892865308,0.015867579728364944,0.6965035796165466,0.1981448233127594,16,0.6888598799705505,1.8597124475532372,0.4764593541925735,0.1241093288970706
A4,43,2021,0.8196819341765607,0.6453940747059871,0.9843589227910097,0.034276494360020844,0.015867579728364944,0.46493956446647644,0.1539701521396637,10,0.7289654612541199,2.1926091628726767,0.4490245411559813,-0.00601311551090646
A4,44,2021,0.8235664336525257,0.7414572037850654,0.9911200606850097,0.03338570194803881,0.015867579728364944,0.45961859822273254,0.13804040849208832,11,0.8274732232093811,3.6601148884998875,0.07417424725879673,0.04610760384208502
A4,42,2022,0.8376862927058966,0.6640190642155162,0.995073154693408,0.021162886103348814,0.007990867830812931,0.9826048016548157,0.0426529198884964,14,0.7982539534568787,3.0761630096804673,0.3046517202292396,-0.09052511016478476
A4,43,2022,0.8413904611373942,0.5798313318939113,0.994573401282262,0.021550703564013035,0.007990867830812931,0.960404634475708,0.09919770061969757,17,0.8938493132591248,6.176787497849999,0.25448095762380535,-0.14668166385442347
A4,44,2022,0.8509302331595782,0.6584919913705388,0.995776754890679,0.01704609364170566,0.007990867830812931,0.9122918248176575,0.11277449131011963,13,0.8537700772285461,4.384417006981717,-0.1651210439113999,-0.16105543179949675
A4,42,2023,0.877742549615039,0.7637846889451392,0.9847377856579983,0.048485573541540816,0.034246575087308884,0.6820087432861328,0.2251642793416977,43,0.5400742292404175,1.1251500000455774,0.5215140845444172,0.20915042471014247
A4,43,2023,0.8277071187437588,0.7358090074541771,0.9836700157604413,0.0491169122913478,0.034246575087308884,0.7659767866134644,0.16659894585609436,38,0.9424275755882263,11.689570602958153,0.12224243072836337,0.07366453607690376
A4,44,2023,0.7838435324693157,0.7330733432790939,0.9842586682427108,0.08300415213845094,0.034246575087308884,0.657624363899231,0.13664215803146362,22,0.7233192324638367,2.139973150076416,-0.41431138908800164,0.037953547557232466
A4,42,2024,0.7793352821463831,0.7726391485216999,0.981760317272199,0.06306652009874307,0.0520264133810997,0.7521077990531921,0.17227281630039215,26,0.7290246486663818,2.1931724285803056,0.5229680468129696,0.299555821134628
A4,43,2024,0.7840691245262624,0.7472456340174243,0.978970231818195,0.07689859332002551,0.0520264133810997,0.6635972857475281,0.1380193829536438,21,0.9330724477767944,10.006104485773495,0.37023067750012656,0.2941263717746072
A4,44,2024,0.7868490394357567,0.7608832686337204,0.9799224215655541,0.06558718506060798,0.0520264133810997,0.7313093543052673,0.15036332607269287,28,0.6850013136863708,1.8321013244820261,-0.4257351956225627,0.1884867777736636
A4,42,2025,0.774496259637421,0.8005564882258598,0.9774527263500211,0.04272914920977794,0.06576093286275864,0.6316820383071899,0.20505481958389282,16,0.8096746206283569,3.283146734904936,0.4706651196481104,0.37841715282278715
A4,43,2025,0.7566984297904445,0.7944623563535658,0.9723560956318655,0.04687947444563876,0.06576093286275864,0.5578864812850952,0.12823797762393951,14,0.9088261723518372,7.250384868835976,0.36068175585092827,0.30189106512125746
A4,44,2025,0.7807099319534506,0.8207299265899446,0.9772981672709005,0.04643880171408858,0.06576093286275864,0.6524609327316284,0.11381840705871582,13,0.8286488056182861,3.687760280509981,-0.424060945332426,0.24576848602658918
